Temperature,CO2,VOC,Time
14.625,400,0,00:45:44
14.625,400,0,00:45:45
14.625,400,0,00:45:46
14.625,400,0,00:45:47
14.625,400,0,00:45:49
14.625,400,0,00:45:50
14.625,400,0,00:45:51
14.6875,400,0,00:45:52
14.6875,400,0,00:45:54
14.75,400,0,00:45:55
14.6875,400,0,00:45:56
14.75,400,0,00:45:57
14.75,400,0,00:45:58
14.75,400,0,00:46:00
14.8125,400,0,00:46:01
14.8125,400,0,00:46:02
14.8125,400,0,00:46:03
14.8125,400,0,00:46:05
14.8125,400,0,00:46:06
14.8125,400,0,00:46:07
14.875,400,0,00:46:08
14.875,400,0,00:46:10
14.875,400,0,00:46:11
14.9375,400,0,00:46:12
14.9375,400,0,00:46:13
14.9375,400,0,00:46:14
15.0,400,0,00:46:16
15.0,400,0,00:46:17
14.9375,400,0,00:46:18
15.0,400,0,00:46:19
15.0,400,0,00:46:21
15.0625,400,0,00:46:22
15.0625,400,0,00:46:23
15.0625,400,0,00:46:24
15.0625,400,0,00:46:26
15.125,400,0,00:46:27
15.1875,400,0,00:46:28
15.1875,400,0,00:46:29
15.1875,400,0,00:46:31
15.1875,400,0,00:46:32
15.25,400,0,00:46:33
15.1875,400,0,00:46:34
15.25,400,0,00:46:35
15.25,400,0,00:46:37
15.25,400,0,00:46:38
15.3125,400,0,00:46:39
15.3125,400,0,00:46:40
15.375,400,0,00:46:42
15.3125,400,0,00:46:43
15.375,400,0,00:46:44
15.3125,400,0,00:46:45
15.4375,400,0,00:46:47
15.4375,400,0,00:46:48
15.4375,400,0,00:46:49
15.5,400,0,00:46:50
15.5,400,0,00:46:52
15.5,400,0,00:46:53
15.5625,400,0,00:46:54
15.5625,400,0,00:46:55
15.625,400,0,00:46:56
15.6875,400,0,00:46:58
15.6875,400,0,00:46:59
15.6875,400,0,00:47:00
15.6875,400,0,00:47:01
15.75,400,0,00:47:03
15.75,400,0,00:47:04
15.8125,400,0,00:47:05
15.8125,400,0,00:47:06
15.8125,400,0,00:47:08
15.875,400,0,00:47:09
15.8125,400,0,00:47:10
15.9375,400,0,00:47:11
15.9375,400,0,00:47:12
15.9375,400,0,00:47:14
15.9375,400,0,00:47:15
15.9375,400,0,00:47:16
16.0,400,0,00:47:17
16.0,400,0,00:47:19
16.0625,400,0,00:47:20
16.125,400,0,00:47:21
16.125,400,0,00:47:22
16.125,400,0,00:47:24
16.125,400,0,00:47:25
16.1875,400,0,00:47:26
16.1875,400,0,00:47:27
16.25,400,0,00:47:29
16.1875,400,0,00:47:30
16.25,400,0,00:47:31
16.25,400,0,00:47:32
16.3125,400,0,00:47:33
16.375,400,0,00:47:35
16.375,400,0,00:47:36
16.375,400,0,00:47:37
16.375,400,0,00:47:38
16.4375,400,0,00:47:40
16.4375,400,0,00:47:41
16.4375,400,0,00:47:42
16.5,400,0,00:47:43
16.5,400,0,00:47:45
16.5625,400,0,00:47:46
16.5625,400,0,00:47:47
16.5625,400,0,00:47:48
16.5,400,0,00:47:50
16.5,400,0,00:47:51
16.5625,400,0,00:47:52
16.5625,400,0,00:47:53
16.5625,400,0,00:47:54
16.625,400,0,00:47:56
16.625,400,0,00:47:57
16.6875,400,0,00:47:58
16.625,400,0,00:47:59
16.6875,400,0,00:48:01
16.6875,400,0,00:48:02
16.6875,400,0,00:48:03
16.75,400,0,00:48:04
16.8125,400,0,00:48:06
16.8125,400,0,00:48:07
16.8125,400,0,00:48:08
16.8125,400,0,00:48:09
16.875,400,0,00:48:10
