Temperature,CO2,VOC,Time
3.4375,400,302,00:39:01
3.375,400,292,00:39:02
3.375,400,297,00:39:04
3.25,400,287,00:39:05
3.25,400,281,00:39:06
3.25,400,268,00:39:07
3.1875,400,265,00:39:08
3.125,400,260,00:39:10
3.125,400,258,00:39:11
3.0625,400,254,00:39:12
3.0,400,248,00:39:13
3.0,400,246,00:39:15
2.875,400,242,00:39:16
2.9375,400,233,00:39:17
2.8125,400,232,00:39:18
2.75,400,224,00:39:20
2.6875,400,224,00:39:21
2.625,400,221,00:39:22
2.625,400,224,00:39:23
2.5625,400,212,00:39:25
2.5,400,208,00:39:26
2.5,400,202,00:39:27
2.4375,400,222,00:39:28
2.375,400,202,00:39:30
2.3125,400,200,00:39:31
2.375,400,202,00:39:32
2.3125,400,197,00:39:33
2.25,400,196,00:39:34
2.25,400,194,00:39:36
2.25,400,186,00:39:37
2.125,400,187,00:39:38
2.125,400,182,00:39:39
2.125,400,177,00:39:41
2.0625,400,170,00:39:42
2.0625,400,179,00:39:43
2.0,400,173,00:39:44
2.0,400,167,00:39:46
2.0,400,169,00:39:47
1.9375,400,169,00:39:48
1.9375,400,162,00:39:49
2.0,400,163,00:39:51
1.9375,400,161,00:39:52
1.9375,400,161,00:39:53
1.9375,400,158,00:39:54
1.875,400,153,00:39:55
1.9375,400,152,00:39:57
1.875,400,154,00:39:58
1.875,400,149,00:39:59
1.875,400,146,00:40:00
1.8125,400,145,00:40:02
1.8125,400,143,00:40:03
1.8125,400,138,00:40:04
1.8125,400,140,00:40:05
1.8125,400,137,00:40:07
1.75,400,131,00:40:08
1.75,400,129,00:40:09
1.6875,400,131,00:40:10
1.6875,400,123,00:40:12
1.6875,400,124,00:40:13
1.625,400,121,00:40:14
1.5625,400,118,00:40:15
1.5625,400,116,00:40:17
1.5625,400,117,00:40:18
1.5625,400,111,00:40:19
1.5,400,116,00:40:20
1.5625,400,111,00:40:21
1.5,400,111,00:40:23
1.5,400,109,00:40:24
1.5,400,105,00:40:25
1.4375,400,99,00:40:26
1.4375,400,104,00:40:28
1.4375,400,99,00:40:29
1.375,400,95,00:40:30
1.375,400,101,00:40:31
1.3125,400,95,00:40:33
1.3125,400,95,00:40:34
1.3125,400,90,00:40:35
1.3125,400,91,00:40:36
1.3125,400,86,00:40:38
1.3125,400,83,00:40:39
1.3125,400,84,00:40:40
1.25,400,80,00:40:41
1.1875,400,75,00:40:42
1.1875,400,77,00:40:44
1.1875,400,69,00:40:45
1.1875,400,67,00:40:46
1.1875,400,66,00:40:47
1.125,400,57,00:40:49
1.1875,400,63,00:40:50
1.0625,400,60,00:40:51
1.0625,400,51,00:40:52
1.125,400,56,00:40:54
1.125,400,45,00:40:55
1.0625,400,53,00:40:56
1.0625,400,48,00:40:57
1.0,400,49,00:40:59
0.9375,400,45,00:41:00
0.9375,400,45,00:41:01
0.9375,400,40,00:41:02
1.0,400,41,00:41:03
0.9375,400,44,00:41:05
0.875,400,33,00:41:06
0.9375,400,35,00:41:07
0.875,400,40,00:41:08
0.875,400,31,00:41:10
0.8125,400,26,00:41:11
0.8125,400,22,00:41:12
0.875,400,25,00:41:13
0.8125,400,22,00:41:15
0.8125,400,26,00:41:16
0.8125,400,24,00:41:17
0.75,400,18,00:41:18
0.75,400,11,00:41:20
0.75,400,8,00:41:21
0.6875,400,8,00:41:22
0.75,400,5,00:41:23
0.6875,400,0,00:41:25
0.6875,400,3,00:41:26
0.6875,400,4,00:41:27
0.6875,400,0,00:41:28
0.6875,400,3,00:41:29
0.625,400,0,00:41:31
0.625,400,0,00:41:32
0.625,400,0,00:41:33
0.6875,400,0,00:41:34
0.5625,400,0,00:41:36
0.5625,400,0,00:41:37
0.5,400,0,00:41:38
0.5625,400,0,00:41:39
0.5625,400,0,00:41:41
0.5625,400,0,00:41:42
0.5,400,0,00:41:43
0.5,400,0,00:41:44
0.5,400,0,00:41:46
0.4375,400,0,00:41:47
0.4375,400,0,00:41:48
0.4375,400,0,00:41:49
0.375,400,0,00:41:50
0.375,400,0,00:41:52
0.375,400,0,00:41:53
0.375,400,0,00:41:54
0.375,400,0,00:41:55
0.375,400,0,00:41:57
0.375,400,0,00:41:58
0.3125,400,0,00:41:59
0.3125,400,0,00:42:00
0.3125,400,0,00:42:02
0.3125,400,0,00:42:03
0.3125,400,0,00:42:04
0.25,400,0,00:42:05
0.3125,400,0,00:42:07
0.25,400,0,00:42:08
0.25,400,0,00:42:09
0.1875,400,0,00:42:10
0.25,400,0,00:42:11
0.25,400,0,00:42:13
0.1875,400,0,00:42:14
0.1875,400,0,00:42:15
0.1875,400,0,00:42:16
0.1875,400,0,00:42:18
0.1875,400,0,00:42:19
0.1875,400,0,00:42:20
0.0625,400,0,00:42:21
0.1875,400,0,00:42:23
0.125,400,0,00:42:24
0.0625,400,0,00:42:25
0.125,400,0,00:42:26
0.125,400,0,00:42:28
0.125,400,0,00:42:29
0.0625,400,0,00:42:30
0.125,400,0,00:42:31
0.125,400,0,00:42:32
0.125,400,0,00:42:34
0.125,400,0,00:42:35
0.125,400,0,00:42:36
0.0625,400,0,00:42:37
0.125,400,0,00:42:39
0.0625,400,0,00:42:40
0.0625,400,0,00:42:41
0.125,400,0,00:42:42
0.0625,400,0,00:42:44
